AircraftDesignation,Overview_Manufacturer,Overview_AlternateDesignation,Overview_Monikers,Overview_Description,Overview_Family,Overview_SubFamily,Overview_PayloadType,Overview_NumSold,Overview_NumCrew,Overview_NumAttendants,Overview_References,Overview_Aisle,Overview_RangeCapability,Overview_ModelType,Overview_PassengerType,Settings_TkoPoints,Settings_ClbPoints,Settings_CrsPoints,Settings_DesPoints,Settings_Plotting,Settings_DataTypeValidation,TLAR_EIS,TLAR_MaxPax,TLAR_Pax,TLAR_Class,TLAR_ADG,TLAR_ADGPercent,TLAR_ADGLimitor,Propulsion_EngineDesignation,Propulsion_AlternateEngines,Propulsion_NumEngines,Performance_Range,Performance_TOFL,Performance_RCMax,Weight_Cargo,Weight_MRW,Weight_MTOW,Weight_MLW,Weight_MZFW,Weight_OEW,Weight_Fuel,Weight_Airframe,Weight_OEW_MTOW,Weight_MZFW_MTOW,Weight_EngFrac,Weight_FuelFrac,Weight_Batt,Weight_EM,Weight_EG,Weight_Payload,Weight_Burden,Weight_Structure_Burden,Aero_Span,Aero_Length,Aero_Height,Aero_TipChord,Aero_Sweep,Aero_RootChord,Aero_S,Aero_WingtipDevice,Aero_MAC,Aero_TaperRatio,Aero_AR,OEW_MaxIter,OEW_Tol,Analysis_MaxIter,Analysis_Type,Thrust_SLS,Thrust_Max,Thrust_Crs,Fuel_Type,Fuel_Density,Fuel_CapUsable,Fuel_CapUnusable,Engine_Manufacturer,Engine_EIS,Engine_AlternateDesignation,Engine_Description,Engine_NumSold,Engine_Thrust_Max,Engine_Thrust_SLS,Engine_Thrust_Crs,Engine_FPR,Engine_BPR,Engine_OPR_SLS,Engine_OPR_Crs,Engine_Mach_Crs,Engine_Alt_Crs,Engine_DryWeight,Engine_DiamFan,Engine_Width,Engine_Height,Engine_Length,Engine_TSFC_SLS,Engine_TSFC_Crs,Engine_FanStages,Engine_GearStages,Engine_GearRatio,Engine_LPCStages,Engine_IPCStages,Engine_HPCStages,Engine_RCStages,Engine_HPTStages,Engine_IPTStages,Engine_LPTStages,Engine_HP100,Engine_IP100,Engine_LP100,Engine_HPContPer,Engine_IPContPer,Engine_LPContPer,Engine_Airflow_SLS,Engine_Airflow_Crs,Engine_TurbExitTemp,Engine_TurbEntryTemp,Engine_References,Engine_PresPerStage,Engine_DataTypeValidation,T_W_SLS,Arch_Type,Eta_Prop,Vels_MaxOp,Vels_Crs,Vels_Tko,Alts_Crs,Alts_Tko,L_D_CrsBRE,L_D_Crs,L_D_Clb,L_D_Des,L_D_CrsMAC,L_D_CrsMAC2,W_S_SLS,SpecEnergy_Fuel,SpecEnergy_Batt,Eta_EM,Eta_EG,Phi_SLS,Phi_Tko,Phi_Clb,Phi_Crs,Phi_Des,Phi_Lnd,P_W_AC,P_W_EM,P_W_EG
A340_211,Airbus,N/A,N/A,"Four turbofan, long range, double aisle, large category airplane",A340,A340-200,Passenger,28,2,,"EASA TCDS EASA.A.015,  A340-200/-300 AIRCRAFT CHARACTERISTICS
AIRPORT AND MAINTENANCE PLANNING,AIRBUS BROCHURE ",Double,Long Range,Baseline,Commercial,,,,,0,Training,1992,375,303,Turbofan,V,0.924460961,Wingspan,CFM56_5C2,"CFM56_5C2/4
CFM56_5C2/F
CFM56_5C2/F4
CFM56_5C2/G
CFM56_5C2/G4
CFM56_5C2/P",4,12400000,,,0,260900,260000,181000,169000,127000,,116422.4,0.488461538,0.65,0.040683077,,35625,,,,,,60.3,59.39,16.83,2.5,30,10.5,361.6,Canted,7.27,0.238095238,10.05555863,,,,1,503520,555120,123036,Jet A,0.785,138638,334,CFM International,1988,,"turbofan, dual spool, high bypass",,138780,125880,30759,,6.6,32.6,,0.8,10668,2644.4,1.735,1.908,2.105,2.5997,0.38,0.67,1,0,,3,0,9,0,1,0,4,15183,,4800,0.952380952,,0.997008973,,,915,,"EASA TCDS E.003, Roux",1.307378546,Training,0.217642908,C,,0.86,0.82,,12530,0,,20.31746233,,,19.73363716,21.20006198,719.0265487,12,,,,0,0,0,0,0,0,,,
A340_212,Airbus,N/A,N/A,"Four turbofan, long range, double aisle, large category airplane",A340,A340-200,Passenger,28,2,,"EASA TCDS EASA.A.015,  A340-200/-300 AIRCRAFT CHARACTERISTICS
AIRPORT AND MAINTENANCE PLANNING",Double,Long Range,Variant,Commercial,,,,,0,Training,1994,375,303,Turbofan,V,0.924460961,Wingspan,CFM56_5C3_F,"CFM56_5C3/F4
CFM56_5C3/G
CFM56_5C3/G4
CFM56_5C3/P",4,12400000,,,0,260900,260000,181000,169000,127000,,116422.4,0.488461538,0.65,0.040683077,,35625,,,,,,60.3,59.39,16.83,2.5,30,10.5,361.6,Canted,7.27,0.238095238,10.05555863,,,,1,503520,555120,,Jet A,0.785,138638,334,CFM International,1992,,"turbofan, dual spool, high bypass",,138780,125880,,,6.5,32.6,,0.8,,2644.4,1.836,1.908,2.105,2.5997,0.32,0.55,1,0,,4,0,9,0,1,0,5,15183,,4800,0.952380952,,0.997008973,,,930,,"EASA TCDS E.003, Roux",1.282587407,Training,0.217642908,C,,0.86,0.82,,12530,0,,,,,19.73363716,21.20006198,719.0265487,12,,,,0,0,0,0,0,0,,,
A340_213,Airbus,N/A,N/A,"Four turbofan, long range, double aisle, large category airplane",A340,A340-200,Passenger,28,2,,"EASA TCDS EASA.A.015,  A340-200/-300 AIRCRAFT CHARACTERISTICS
AIRPORT AND MAINTENANCE PLANNING",Double,Long Range,Variant,Commercial,,,,,0,Training,1995,375,303,Turbofan,V,0.924460961,Wingspan,CFM56_5C4,,4,12400000,,,0,275900,275000,185000,173000,127000,,116422.4,0.461818182,0.629090909,0.038464,,35625,,,,,,60.3,59.39,16.83,2.5,30,10.5,361.6,Canted,7.27,0.238095238,10.05555863,,,,1,534840,604960,126329.48,Jet A,0.785,138638,334,CFM International,1993,,"turbofan, dual spool, high bypass",,151240,133710,31582.37,,6.4,33.9,,0.8,10668,2644.4,1.836,1.908,2.105,2.5997,0.33,0.55,1,0,,4,0,9,0,1,0,5,15183,,4985,0.952380952,,0.959692898,,,940,,"EASA TCDS E.003, Roux",1.286174747,Training,0.224246131,C,,0.86,0.82,,12530,0,,20.92937714,,,19.73363716,21.20006198,760.5088496,12,,,,0,0,0,0,0,0,,,
A340_311,Airbus,N/A,N/A,"Four turbofan, long range, double aisle, large category airplane",A340,A340-300,Passenger,218,2,,"EASA TCDS EASA.A.015,  A340-200/-300 AIRCRAFT CHARACTERISTICS
AIRPORT AND MAINTENANCE PLANNING",Double,Long Range,Baseline,Commercial,,,,,0,Validation,1992,375,335,Turbofan,V,0.924460961,Wingspan,CFM56_5C2,,4,13500000,,,0,260900,260000,188000,178000,131215,,120637.4,0.504673077,0.684615385,0.040683077,,35625,,,,,,60.3,63.69,16.99,2.5,30,10.5,361.6,Canted,7.27,0.238095238,10.05555863,,,,1,503520,555120,123036,Jet A,0.785,138638,334,CFM International,1988,,"turbofan, dual spool, high bypass",,138780,125880,30759,,6.6,32.6,,0.8,10668,2644.4,1.735,1.908,2.105,2.5997,0.38,0.67,1,0,,3,0,9,0,1,0,4,15183,,4800,0.952380952,,0.997008973,,,915,,"EASA TCDS E.003, Roux",1.307378546,Training,0.217642908,C,,0.86,0.82,,12630,0,,20.31746233,,,19.67462615,21.13666581,719.0265487,12,,,,0,0,0,0,0,0,,,
A340_312,Airbus,N/A,N/A,"Four turbofan, long range, double aisle, large category airplane",A340,A340-300,Passenger,218,2,,"EASA TCDS EASA.A.015,  A340-200/-300 AIRCRAFT CHARACTERISTICS
AIRPORT AND MAINTENANCE PLANNING",Double,Long Range,Variant,Commercial,,,,,0,Training,1994,375,335,Turbofan,V,0.924460961,Wingspan,CFM56_5C3_F,,4,13500000,,,0,260900,260000,188000,178000,131215,,120637.4,0.504673077,0.684615385,0.040683077,,35625,,,,,,60.3,63.69,16.99,2.5,30,10.5,361.6,Canted,7.27,0.238095238,10.05555863,,,,1,503520,555120,,Jet A,0.785,138638,334,CFM International,1992,,"turbofan, dual spool, high bypass",,138780,125880,,,6.5,32.6,,0.8,,2644.4,1.836,1.908,2.105,2.5997,0.32,0.55,1,0,,4,0,9,0,1,0,5,15183,,4800,0.952380952,,0.997008973,,,930,,"EASA TCDS E.003, Roux",1.282587407,Training,0.217642908,C,,0.86,0.82,,12630,0,,,,,19.67462615,21.13666581,719.0265487,12,,,,0,0,0,0,0,0,,,
A340_313,Airbus,N/A,N/A,"Four turbofan, long range, double aisle, large category airplane",A340,A340-300,Passenger,218,2,,"EASA TCDS EASA.A.015,  A340-200/-300 AIRCRAFT CHARACTERISTICS
AIRPORT AND MAINTENANCE PLANNING",Double,Long Range,Variant,Commercial,,,,,0,Training,1995,375,335,Turbofan,V,0.924460961,Wingspan,CFM56_5C4,,4,13500000,,,0,277400,276500,192000,183000,131215,,120637.4,0.474556962,0.661844485,0.038255335,,35625,,,,,,60.3,63.69,16.99,2.5,30,10.5,361.6,Canted,7.27,0.238095238,10.05555863,,,,1,534840,604960,126329.48,Jet A,0.785,138638,334,CFM International,1993,,"turbofan, dual spool, high bypass",,151240,133710,31582.37,,6.4,33.9,,0.8,10668,2644.4,1.836,1.908,2.105,2.5997,0.33,0.55,1,0,,4,0,9,0,1,0,5,15183,,4985,0.952380952,,0.959692898,,,940,,"EASA TCDS E.003, Roux",1.286174747,Training,0.223029606,C,,0.86,0.82,,12630,0,,21.04353738,,,19.67462615,21.13666581,764.6570796,12,,,,0,0,0,0,0,0,,,
A340_541,Airbus,N/A,N/A,"Four turbofan, long range, double aisle, large category airplane",A340,A340-500,Passenger,34,2,,"EASA TCDS EASA.A.015,  A340-500/-600 AIRCRAFT CHARACTERISTICS
AIRPORT AND MAINTENANCE PLANNING",Double,Long Range,Baseline,Commercial,,,,,0,Training,2002,375,313,Turbofan,V,0.972753698,Wingspan,RB211_Trent_553_61,RB211_Trent_553_61,4,16670000,,,0,381200,380000,246000,232000,175377,,155417,0.461518421,0.610526316,0.052526316,,35625,,,,,,63.45,67.93,17.53,2.67,,12.18,,Canted,8.37,0.219211823,,,,,1,789200,992400,,Jet A,0.785,130806,332,Rolls Royce,2000,,triple spool high bypass turbofan,,248100,197300,,,8.5,35,,0.8,9144,4990,2.474,3.374,3.374,4.689,,0.542,1,0,,0,8,6,0,1,1,5,13300,9100,3900,94.5,95.1,98.2,837.8,,850,,"Roux
EASA E060
RR Trent Infographic
RR Trent Product Sheet
GTEngines Aviation Weekly 2008",1.267470528,Training,0.266215999,C,,0.86,0.82,,12630,0,,,,,,,,12,,,,0,0,0,0,0,0,,,
A340_542,Airbus,N/A,N/A,"Four turbofan, long range, double aisle, large category airplane",A340,A340-500,Passenger,34,2,,"EASA TCDS EASA.A.015,  A340-500/-600 AIRCRAFT CHARACTERISTICS
AIRPORT AND MAINTENANCE PLANNING",Double,Long Range,Variant,Commercial,,,,,0,Training,2007,375,313,Turbofan,V,0.972753698,Wingspan,RB211_Trent_556A2_61,RB211_Trent_556A2_61,4,16670000,,,0,381200,380000,246000,232000,175377,,155417,0.461518421,0.610526316,0.052526316,,35625,,,,,,63.45,67.93,17.53,2.67,,12.18,,Canted,8.37,0.219211823,,,,,1,789200,1040000,,Jet A,0.785,130806,332,Rolls Royce,2003,,triple spool high bypass turbofan,,260000,197300,,,8.5,35,,0.8,9144,4990,2.474,3.374,3.374,4.689,,0.542,1,0,,0,8,6,0,1,1,5,13300,9100,3900,94.5,95.1,98.2,858.2,,850,,"Roux
EASA E060
RR Trent Infographic
RR Trent Product Sheet
GTEngines Aviation Weekly 2008",1.267470528,Training,0.278984924,C,,0.86,0.82,,12630,0,,,,,,,,12,,,,0,0,0,0,0,0,,,
A340_642,Airbus,N/A,N/A,"Four turbofan, long range, double aisle, large category airplane",A340,A340-600,Passenger,97,2,,"EASA TCDS EASA.A.015,  A340-500/-600 AIRCRAFT CHARACTERISTICS
AIRPORT AND MAINTENANCE PLANNING",Double,Long Range,Baseline,Commercial,,,,,0,Training,2002,440,384,Turbofan,V,0.972753698,Wingspan,RB211_Trent_556_61,RB211_Trent_556_61,4,14450000,,,0,381200,380000,265000,251000,181606,,161646,0.477910526,0.660526316,0.052526316,,41800,,,,,,63.45,75.36,17.93,2.67,,12.18,,Canted,8.37,0.219211823,,,,,1,789200,1040000,,Jet A,0.785,130806,332,Rolls Royce,2000,,triple spool high bypass turbofan,,260000,197300,,,8.5,35,,0.8,9144,4990,2.474,3.374,3.374,4.689,,0.542,1,0,,0,8,6,0,1,1,5,13300,9100,3900,94.5,95.1,98.2,858.2,,850,,"Roux
EASA E060
RR Trent Infographic
RR Trent Product Sheet
GTEngines Aviation Weekly 2008",1.267470528,Training,0.278984924,C,,0.86,0.82,,12630,0,,,,,,,,12,,,,0,0,0,0,0,0,,,
A340_643,Airbus,N/A,N/A,"Four turbofan, long range, double aisle, large category airplane",A340,A340-600,Passenger,97,2,,"EASA TCDS EASA.A.015,  A340-500/-600 AIRCRAFT CHARACTERISTICS
AIRPORT AND MAINTENANCE PLANNING",Double,Long Range,Variant,Commercial,,,,,0,Training,2006,440,384,Turbofan,V,0.972753698,Wingspan,RB211_Trent_560A2_61,RB211_Trent_560A2_61,4,14450000,,,0,381200,380000,265000,251000,181606,,161646,0.477910526,0.660526316,0.052526316,,41800,,,,,,63.45,75.36,17.93,2.67,,12.18,,Canted,8.37,0.219211823,,,,,1,789200,1101200,,Jet A,0.785,130806,332,Rolls Royce,2003,,triple spool high bypass turbofan,,275300,197300,,,8.5,35,,0.8,9144,4990,2.474,3.374,3.374,4.689,,0.542,1,0,,0,8,6,0,1,1,5,13300,9100,3900,94.5,95.1,98.2,860.4647,,850,,"Roux
EASA E060
RR Trent Infographic
RR Trent Product Sheet
GTEngines Aviation Weekly 2008",1.267470528,Training,0.295402114,C,,0.86,0.82,,12630,0,,,,,,,,12,,,,0,0,0,0,0,0,,,
